Organization Name,Street,City,State,Zip Code,Full Address,Latitude,Longitude,Region,Phone,Website,Agriculture,Food and Beverage,Services,Products,Healthcare,Open Entry,Loan Advice,Business Planning,Credit Health,Legal,Marketing,Finance,Operations,Leadership,Computer Skills,Bookkeeping and Accounting,Taxes,Social Media and Website,Communications,Sales,Coaching & Advising,Workshops / Training,Online Tools,English,Spanish,Mandarin,Vietnamese,Cost,Image URL
Asian Pacific Islander Small Business Program,"231 East Third Street, Suite G106",Los Angeles,CA,90013,"231 East Third Street, Suite G106 Los Angeles CA 90013 ",34.0484464,-118.2436946,Los Angeles Basin Area,(213) 473-1605,www.apisbp.org,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,Free,http://www.platebyplate.org/wp-content/uploads/2015/04/asian-pacific-islander-small-business-program-logo.png
Bay Area Development Company,"1801 Oakland Boulevard, Suite 100",Walnut Creek,CA,94596,"1801 Oakland Boulevard, Suite 100 Walnut Creek CA 94596 ",37.9035255,-122.0691143,San Francisco Bay Area,(925) 926-1020,www.bayarea504.com,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,Paid,http://www.baydevco.com/wp-content/themes/no-frills/images/bay-area-development-company.gif
Bethel Los Angeles CDC,7900 South Western Avenue,Los Angeles,CA,90047,7900 South Western Avenue Los Angeles CA 90047 ,33.9670093,-118.3086546,Los Angeles Basin Area,(323) 751-9104,bethellacdc.com,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,Paid,http://bethellacdc.com/wp-content/themes/wp_edublog/images/bethel-logo.png
Business Resource Group,"13545 Hawthorne Boulevard, Suite 200",Hawthorne,CA,90250,"13545 Hawthorne Boulevard, Suite 200 Hawthorne CA 90250 ",33.9090813,-118.3531031,Los Angeles Basin Area,(310) 644-2500,www.bizresourcegroup.com,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,Free,https://s3.amazonaws.com/media.zip.kiva.org/images/4853/large/BRG_Logo._2.JPG
California Capital Financial Development Corporation,"1792 Tribute Road, Suite 270",Sacramento,CA,95815,"1792 Tribute Road, Suite 270 Sacramento CA 95815 ",38.5981621,-121.4457359,Sacramento Area,(916) 442-1729,www.cacapital.org,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,Paid,http://cacapital.org/wp-content/uploads/2015/02/CaliforniaCapital-Logo-rev1.png
California Coastal Rural Development Corporation,"221 Main Street, Suite 301",Salinas,CA,93901,"221 Main Street, Suite 301 Salinas CA 93901 ",36.6750733,-121.6548894,Central Coast,(831) 424-1099,www.calcoastal.org,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,Traded,http://www.calcoastal.org/
California FarmLink,"303 Potrero Street, Suite 29-201",Santa Cruz,CA,95060,"303 Potrero Street, Suite 29-201 Santa Cruz CA 95060 ",36.981582,-122.0314097,Central Coast,(831) 425-0303,www.californiafarmlink.org,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,Paid,http://1.bp.blogspot.com/-HZJ1VSIUw9w/VxkMYvX7w7I/AAAAAAAAAUg/rVpBjoXnqUQX_Y2ibJpFV2f4KfLPC55uwCK4B/s185/FarmLink_logo_Color.png
California FarmLink - Central Valley,"303 Potrero Street, Suite 29-201",Santa Cruz,CA,95060,"303 Potrero Street, Suite 29-201 Santa Cruz CA 95060 ",36.981582,-122.0314097,Central Valley,(916) 538-9619,www.californiafarmlink.org,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,Free,http://1.bp.blogspot.com/-HZJ1VSIUw9w/VxkMYvX7w7I/AAAAAAAAAUg/rVpBjoXnqUQX_Y2ibJpFV2f4KfLPC55uwCK4B/s185/FarmLink_logo_Color.png
California FarmLink - North Coast,"303 Potrero Street, Suite 29-201",Santa Cruz,CA,95060,"303 Potrero Street, Suite 29-201 Santa Cruz CA 95060 ",36.981582,-122.0314097,Rural North,(707) 347-9309,www.californiafarmlink.org,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,Free,http://1.bp.blogspot.com/-HZJ1VSIUw9w/VxkMYvX7w7I/AAAAAAAAAUg/rVpBjoXnqUQX_Y2ibJpFV2f4KfLPC55uwCK4B/s185/FarmLink_logo_Color.png
California Resources and Training (CARAT),"300 Frank Ogawa Plaza, Suite 175",Oakland,CA,94612,"300 Frank Ogawa Plaza, Suite 175 Oakland CA 94612 ",37.8057851,-122.2711244,San Francisco Bay Area,(510) 451-2545,www.caratnet.org,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,Free,http://www.ebsmallbusiness.com/images/CARAT%20Logo.jpg
California State University at Monterey Bay Small Business Development Center (SBDC),106 Lincoln Avenue,Salinas,CA,93901,106 Lincoln Avenue Salinas CA 93901 ,36.6763156,-121.6578123,Central Coast,(831) 422-6232,sbdc.csumb.edu,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,Paid,http://businessstreetonline.com/wp-content/uploads/2013/11/casbdc_ucm_logo_.jpg
Casa Allegra Community Services,"35 Mitchell Boulevard, Suite 8",San Rafael,CA,94903,"35 Mitchell Boulevard, Suite 8 San Rafael CA 94903 ",38.0173556,-122.5392432,San Francisco Bay Area,(415) 499-1116,www.casaallegra.org,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,Traded,http://www.casaallegra.org/images/logos/CACSLogo321_415x90.jpg
Catherine Marshall,4109 Stanley Boulevard,Pleasanton,CA,94566-6290,4109 Stanley Boulevard Pleasanton CA 94566-6290 ,37.667261,-121.870518,San Francisco Bay Area,(925) 426-5323,www.capbuilders.org,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,Free,http://www.capbuilders.org/images/banner_top_home_061110.gif
CDC Small Business Finance,"2448 Historic Decatur Road, Suite 200",San Diego,CA,92106,"2448 Historic Decatur Road, Suite 200 San Diego CA 92106 ",32.7359084,-117.2156974,San Diego Area,(619) 291-3594,www.cdcloans.com,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,Traded,http://www.sandiegobusiness.org/sites/default/files/images/CDC-Logo-clear.png
CDC Small Business Finance - Inland Empire,"1650 Iowa Avenue, Suite 150",Riverside,CA,92507,"1650 Iowa Avenue, Suite 150 Riverside CA 92507 ",33.9963287,-117.3391534,Inland Empire,(951) 905-5701,www.cdcloans.com,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,Traded,http://www.sandiegobusiness.org/sites/default/files/images/CDC-Logo-clear.png
CDC Small Business Finance - Orange County,"3200 El Camino Real, Suite 160",Irvine,CA,92602,"3200 El Camino Real, Suite 160 Irvine CA 92602 ",33.7193987,-117.7899024,Los Angeles Basin Area,(714) 550-5444,www.cdcloans.com,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,Free,http://www.sandiegobusiness.org/sites/default/files/images/CDC-Logo-clear.png
CDC Small Business Finance - Sacramento,"1545 River Park Drive, Suite 405",Sacramento,CA,95815,"1545 River Park Drive, Suite 405 Sacramento CA 95815 ",38.6005921,-121.4353422,Sacramento Area,(916) 565-8100,www.cdcloans.com,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,Free,http://www.sandiegobusiness.org/sites/default/files/images/CDC-Logo-clear.png
"Center for Agriculture, Dairy, and Rural Development","101 North Irwin Street, Suite C",Hanford,CA,93230,"101 North Irwin Street, Suite C Hanford CA 93230 ",36.3257372,-119.646568,Central Valley,,www.vsbdc.com,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,Paid,http://lib.dr.iastate.edu/assets/md5images/4922b07234802e2a4dec54e5899bd130.jpg
Central Coast Small Business Development Center (SBDC),"Cabrillo College 6500 Soquel Drive, Suite 2100C",Aptos,CA,95003,"Cabrillo College 6500 Soquel Drive, Suite 2100C Aptos CA 95003 ",36.9887193,-121.9252975,Central Coast,(831) 479-6136,centralcoastsbdc.org,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,Free,http://www.cabrillo.edu/services/extension/downloads/2015%20Norcal%20CCSBDC%20Wide%20Logo%20Color%20with%20Cabrillo.jpg
Centro Community Partners,"825 Washington Street, Suite 228",Oakland,CA,94607,"825 Washington Street, Suite 228 Oakland CA 94607 ",37.8012631,-122.2749003,San Francisco Bay Area,(510) 830-3204,www.centrocommunity.org,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,Paid,http://www.urbansolutionssf.org/wp-content/uploads/2015/02/header_logo.png
Chinatown Service Center,"767 North Hill Street, Suite 400",Los Angeles,CA,90012,"767 North Hill Street, Suite 400 Los Angeles CA 90012 ",34.0626634,-118.2400525,Los Angeles Basin Area,(213) 808-1768,www.cscla.org,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,Free,http://cscla.org/c5/files/5913/5424/4222/CSCLA_Logo.png
CIELO,"16787 Beach Boulevard, Suite 233",Huntington Beach,CA,92647,"16787 Beach Boulevard, Suite 233 Huntington Beach CA 92647 ",33.7187317,-117.9896945,Los Angeles Basin Area,(949) 891-2044,www.cielocommunity.org,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,Traded,http://cielocom.wpengine.com/wp-content/uploads/2015/10/sitelogo-cielo.png
"City of LA Business Source, Harbor Region",455 W. 6th St.,San Pedro,CA,90731,455 W. 6th St. San Pedro CA 90731 ,33.738499,-118.286868,Los Angeles Basin Area,(310) 221-0644,www.lasmallbusiness.org,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,Traded,http://www.losangelesworks.org/images/pageFeatImg/bizResourcePageHeader.png
"City of LA Business Source, Hollywood",4311 Melrose Avenue,Los Angeles,CA,90029,4311 Melrose Avenue Los Angeles CA 90029 ,34.0838782,-118.2942311,Los Angeles Basin Area,(323) 454-6115,www.lasmallbusiness.org,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,Paid,http://www.losangelesworks.org/images/pageFeatImg/bizResourcePageHeader.png
City of Oroville,Business Assistance & Housing Development 1735 Montgomery Street,Oroville,CA,95965,Business Assistance & Housing Development 1735 Montgomery Street Oroville CA 95965 ,39.51284,-121.5583241,Sacramento Area,(530) 538-4307,www.cityoforoville.org,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,Paid,http://www.cityoforoville.org/Modules/ShowImage.aspx?imageid=668
Coachella Valley Women's Business Center (CVWBC),"77-806 Flora Road, Suite C",Palm Desert,CA,92211,"77-806 Flora Road, Suite C Palm Desert CA 92211 ",33.7685475,-116.306183,Inland Empire,(760) 345-9200,www.cvwbc.org,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,Free,http://www.cvwbc.org/graphics/top.png
"Community Action Agency of Butte County, Inc.","370 Ryan Avenue, Suite 124",Chico,CA,95973,"370 Ryan Avenue, Suite 124 Chico CA 95973 ",39.806654,-121.854593,Rural North,(530) 712-2600,www.buttecaa.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,Free,https://buttecaa.com/images/design/default/logo.png
Community Action Partnership of Sonoma County,1300 North Dutton Avenue,Santa Rosa,CA,95401,1300 North Dutton Avenue Santa Rosa CA 95401 ,38.4499961,-122.733176,Rural North,(707) 544-6911,www.capsonoma.org,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,Traded,http://www.capsonoma.org/wp-content/uploads/2015/05/CAPLogo2015_v3_h160px.png
Community Development Department of Los Angeles,"1200 West 7th Street, Floors 4 and 6",Los Angeles,CA,90017,"1200 West 7th Street, Floors 4 and 6 Los Angeles CA 90017 ",34.0543797,-118.2672801,Los Angeles Basin Area,(213) 744-7300,cdd.lacity.org/bus_index.html,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,Paid,http://www.shredsource.com/wp-content/uploads/2012/01/deparment-of-development.jpg
Community Development Services,3895 Main Street,Kelseyville,CA,95451,3895 Main Street Kelseyville CA 95451 ,38.977625,-122.839052,Rural North,(707) 279-1540,,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,Free,http://granitenet.com.au/assets/images/CDS%20Logo.jpg
Contra Costa Small Business Development Center (SBDC),"300 Ellinwood Way, Suite 300",Pleasant Hill,CA,94523,"300 Ellinwood Way, Suite 300 Pleasant Hill CA 94523 ",37.9588352,-122.0536755,San Francisco Bay Area,(925) 602-6844,www.contracostasbdc.com,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,Free,https://s3-media4.fl.yelpcdn.com/bphoto/j92HcyQ061UpHDUbJ_8gjA/ls.jpg
Crowdfund Better,2123 South Bronson Avenue,Los Angeles,CA,90018,2123 South Bronson Avenue Los Angeles CA 90018 ,34.038071,-118.331072,Los Angeles Basin Area,(646) 783-8814,www.crowdfundbetter.com,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,Traded,http://crowdfundbetter.com/wp-content/uploads/2015/05/Crowdfund-Logo-on-white5.png
Cutting Edge Capital,"436 14th Street, Suite 1120",Oakland,CA,94612,"436 14th Street, Suite 1120 Oakland CA 94612 ",37.8043674,-122.2706567,San Francisco Bay Area,(510) 834-4530,www.cuttingedgecapital.com,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,Free,http://www.cuttingedgecapital.com/wp-content/uploads/logo_top.jpg
East Bay Asian Local Development Corporation (EBALDC),"1825 San Pablo Avenue, Suite 200",Oakland,CA,94612,"1825 San Pablo Avenue, Suite 200 Oakland CA 94612 ",37.808281,-122.272855,San Francisco Bay Area,(510) 287-5353,ebaldc.org,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,Traded,http://ebaldc.org/sites/all/themes/ebaldc/logo.png
Easter Seals/WorkFirst Southern California,401 South Ivy Street,Escondido,CA,92025,401 South Ivy Street Escondido CA 92025 ,33.1203456,-117.0761152,San Diego Area,(760) 737-3990,southerncal.easterseals.com,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,Paid,http://www.easterseals.com/assets/wrapper-images/easter-seals-logo.png
Economic Development & Financing Corporation (EDFC),"205 North Bush Street, Suite 252",Ukiah,CA,95482,"205 North Bush Street, Suite 252 Ukiah CA 95482 ",39.1500193,-123.2116244,Rural North,(707) 234-5705,www.edfc.org,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,Paid,http://edfc.org/wp-content/uploads/2015/09/cropped-edfc.icon_.2.jpg
Elizabeth de Renzy Evaluations Services and Consulting,923 Minnesota Street,San Francisco,CA,94107,923 Minnesota Street San Francisco CA 94107 ,37.758767,-122.389986,San Francisco Bay Area,(415) 601-9042,,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,Paid,
El Pajaro Community Development Corporation,"23 East Beach Street, Suite 209",Watsonville,CA,95076,"23 East Beach Street, Suite 209 Watsonville CA 95076 ",36.9108058,-121.7563887,Central Coast,(831) 722-1224,www.elpajarocdc.org,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,Free,http://www.changemakers.com/sites/default/files/imagecache/changemakers_teaser_tile/cdc_logo_2008_for_printing_0.jpg
Feed the Hunger Foundation,The Presidio 100 Montgomery Street,San Francisco,CA,94114,The Presidio 100 Montgomery Street San Francisco CA 94114 ,37.7994476,-122.4600083,San Francisco Bay Area,(628) 400-3843,www.feed-hunger.com,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,Traded,http://www.fresnodbh.org/wp-content/uploads/lddbd-logos/Feed-the-Hunger-Foundation.png
Fitzsimmons Coaching,4888 Kensington Drive,San Diego,CA,92116,4888 Kensington Drive San Diego CA 92116 ,32.7666899,-117.107569,San Diego Area,(619) 306-7100,www.FitzsimmonsCoaching.com,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,Free,http://fitzsimmonscoaching.com/wp-content/uploads/2015/06/FitzsimmonsCoaching_NEWlogo.png
Fresno Community Development Financial Institution,"1920 Mariposa Mall, Suite 111",Fresno,CA,93721,"1920 Mariposa Mall, Suite 111 Fresno CA 93721 ",36.7333266,-119.7918211,Central Valley,(559) 263-1030,www.fresnocdfi.com,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,Free,https://cdn.evbuc.com/eventlogos/18694721/fresnocdfilogo.jpg
Fresno County Economic Opportunities Commission,"1920 Mariposa Mall, Suite 300",Fresno,CA,93721,"1920 Mariposa Mall, Suite 300 Fresno CA 93721 ",36.7333266,-119.7918211,Central Valley,(559) 263-1030,www.fresnoeoc.org,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,Paid,http://fresnoeoc.org/files/images/Logo-Primary-Color.jpg
Fresno State University SBDC - Visalia Satellite Office,220 North Santa Fe,Visalia,CA,93292,220 North Santa Fe Visalia CA 93292 ,36.3317849,-119.2876246,Central Valley,(559) 625-3051,fresnostatesbdc.com,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,Free,http://fresnostate.edu/academics/sbdc/images/FS-SBDC_website_logo_4-28-16.png
Fresno State University Small Business Development Center (SBDC),"550 East Shaw Avenue, Suite 230",Fresno,CA,93710,"550 East Shaw Avenue, Suite 230 Fresno CA 93710 ",36.809296,-119.7783637,Central Valley,(559) 278-3712,fresnostatesbdc.com,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,Paid,http://www.fresnostate.edu/omniresources/responsive/images/fresno-state-logo.gif
Glenn County Human Resource Agency,420 East Laurel Street,Willows,CA,95988,420 East Laurel Street Willows CA 95988 ,39.516686,-122.190056,Rural North,(530) 934-1494,www.countyofglenn.net/govt/departments/gchhsa/business_services/business_services.aspx,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,Traded,
Guided Business Plan,"6775 Santa Monica Boulevard, Unit 4-214",Los Angeles,CA,90038,"6775 Santa Monica Boulevard, Unit 4-214 Los Angeles CA 90038 ",34.091071,-118.3382475,Los Angeles Basin Area,(888) 523-5244,www.guidedplans.com,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,Paid,https://media.licdn.com/media/p/4/000/1bd/069/021f7e5.png
"Indian Dispute Resolution Services, Inc. (IDRS, Inc.)",P.O. Box 877,Plymouth,CA,95669,P.O. Box 877 Plymouth CA 95669 ,38.4818531,-120.844659,Sacramento Area,(916) 482-5800,www.idrsinc.org,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,Traded,
Inland Empire Small Business Development Center (SBDC),"1650 Spruce Street, Suite 500",Riverside,CA,92506,"1650 Spruce Street, Suite 500 Riverside CA 92506 ",33.9895844,-117.3476612,Inland Empire,(951) 781-2345,www.iesmallbusiness.com,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,Traded,http://rivoed.s3.amazonaws.com/images/remote/http_rivoed.s3.amazonaws.com/partners/1404857501/sized/SBDC_960_540_75_int_s_c1.jpg
Inland Empire Women's Business Center,3780 Market Street,Riverside,CA,92501,3780 Market Street Riverside CA 92501 ,33.9827051,-117.3752646,Inland Empire,(909) 890-1242,www.iewbc.org,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,Free,http://rivoed.s3.amazonaws.com/images/remote/http_rivoed.s3.amazonaws.com/partners/1404857501/sized/SBDC_960_540_75_int_s_c1.jpg
International Rescue Committee San Diego,"5348 University Avenue, Suite 108",San Diego,CA,92105,"5348 University Avenue, Suite 108 San Diego CA 92105 ",32.7494215,-117.0811449,San Diego Area,(619) 641-7510,www.rescue.org,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,Paid,https://www.rescue.org/sites/default/files/logo.gif
Jefferson Economic Development Institute (JEDI),205 Chestnut Street,Mount Shasta,CA,96067,205 Chestnut Street Mount Shasta CA 96067 ,41.313458,-122.311424,Rural North,(530) 926-6670,www.e-jedi.org,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,Traded,http://e-jedi.org/wp-content/uploads/2015/02/logo_cut1.png
Kitchen Table Advisors,"150 Post Street, Suite 342",San Francisco,CA,94108,"150 Post Street, Suite 342 San Francisco CA 94108 ",37.7890722,-122.4046598,San Francisco Bay Area,(650) 489-5054,www.kitchentableadvisors.org,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Traded,
Koreatown Youth & Community Center,"3727 West 6th Street, 3rd Floor",Los Angeles,CA,90020,"3727 West 6th Street, 3rd Floor Los Angeles CA 90020 ",34.0638657,-118.3037835,Los Angeles Basin Area,(213) 365-7400,www.kyccla.org,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,Paid,http://media.nbclosangeles.com/images/1200*1085/Koreatown+Youth+and+Community+Center+Logo.jpg
La Cocina,2948 Folsom Street,San Francisco,CA,94110,2948 Folsom Street San Francisco CA 94110 ,37.7501803,-122.4140972,San Francisco Bay Area,(415) 824-2729,www.lacocinasf.org,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,Free,http://www.lacocinasf.org/wp-content/uploads/2012/10/LaCocina_logo_4clr.jpg
Latinas in Business Foundation,"2700 Adams Avenue, Suite 203",San Diego,CA,92116,"2700 Adams Avenue, Suite 203 San Diego CA 92116 ",32.7631233,-117.1348898,San Diego Area,(619) 602-7932,www.latinasfoundation.org,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,Traded,http://www.latinasfoundation.org/ESW/Images/drip.jpg
